Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,clusters
9426,1.0,9887.855270900429,1.0,1.0,0.0,5.0,1.0,2.0,753.0,9461,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
7446,1.0,4332.546525134655,1.0,2.0,0.0,3.0,2.0,2.0,967.0,7481,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,4
2984,1.0,11412.625648529858,1.0,0.0,1.0,3.0,1.0,2.0,413.0,3019,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
11008,0.0,12829.574046100586,0.0,1.0,1.0,0.0,1.0,2.0,985.0,11043,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
1826,0.0,9294.828351068263,0.0,1.0,1.0,0.0,1.0,0.0,591.0,1861,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
5745,1.0,4472.203354397701,1.0,2.0,1.0,2.0,2.0,0.0,17.0,5780,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
7292,0.0,6885.642077363959,1.0,2.0,0.0,4.0,0.0,0.0,968.0,7327,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13970,2.0,7809.896516451796,0.0,1.0,1.0,4.0,0.0,0.0,742.0,14005,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
6701,1.0,4951.580002346858,1.0,0.0,1.0,1.0,0.0,2.0,934.0,6736,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
3884,0.0,8258.942564691417,0.0,2.0,0.0,3.0,2.0,0.0,851.0,3919,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13027,1.0,6558.438187383254,1.0,2.0,0.0,1.0,2.0,0.0,786.0,13062,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
1180,2.0,9275.304203686348,0.0,1.0,1.0,5.0,1.0,2.0,853.0,1215,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
4004,1.0,5864.424926054534,1.0,2.0,0.0,1.0,1.0,2.0,66.0,4039,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,4
2440,1.0,7719.126530261827,1.0,2.0,1.0,0.0,2.0,1.0,166.0,2475,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
1495,2.0,9193.03646493798,1.0,1.0,0.0,5.0,0.0,1.0,258.0,1530,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13026,1.0,10532.5151235051,1.0,1.0,1.0,3.0,0.0,0.0,437.0,13061,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
13010,1.0,6462.092926991014,1.0,0.0,0.0,3.0,0.0,1.0,157.0,13045,nordhaus,RICE,0.248,0.015,13.0,,Nordhaus policy,1
