Unnamed: 0,fdamage,fosslim,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,scenario_pop_gdp,scenario_sigma,t2xco2_dist,t2xco2_index,scenario,policy,model,sr,irstp,miu_period,egalitarian_discounting,principle,Damages 2005,clusters
30359,2.0,12485.090546224084,0.0,1.0,1.0,1.0,0.0,1.0,477.0,100359,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
3388,1.0,9943.913332904567,1.0,1.0,1.0,3.0,1.0,1.0,141.0,73388,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,1
16942,0.0,11945.512741657016,0.0,0.0,0.0,2.0,0.0,2.0,503.0,86942,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
9727,1.0,9581.78599643267,1.0,2.0,0.0,5.0,2.0,2.0,914.0,79727,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,5
16596,2.0,13497.079973911788,1.0,2.0,1.0,4.0,0.0,1.0,444.0,86596,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,4
15244,1.0,12674.652877207664,1.0,0.0,0.0,2.0,2.0,2.0,417.0,85244,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
18654,2.0,4749.886613402932,1.0,0.0,0.0,0.0,1.0,2.0,883.0,88654,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,2
23642,0.0,9602.142500366326,0.0,0.0,1.0,5.0,2.0,1.0,449.0,93642,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,5
2094,0.0,6789.181807165489,0.0,0.0,1.0,2.0,2.0,2.0,217.0,72094,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
16718,2.0,6378.368849098613,1.0,0.0,1.0,5.0,2.0,2.0,599.0,86718,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,5
25436,0.0,4382.091459875234,1.0,1.0,0.0,3.0,1.0,0.0,176.0,95436,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,1
29908,1.0,7893.6266035546705,1.0,1.0,1.0,2.0,2.0,0.0,615.0,99908,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,0
28998,1.0,4608.554037716323,0.0,0.0,0.0,5.0,0.0,2.0,654.0,98998,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.220922992591447,5
28263,0.0,6052.242314157233,1.0,0.0,1.0,1.0,0.0,0.0,241.0,98263,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0872723892298207,0
27828,2.0,9141.974513941104,1.0,2.0,1.0,2.0,0.0,2.0,196.0,97828,policy36,RICE,0.4747647046498785,0.0069109402422977,28.0,0.0,Egalitarian,0.0015984095233518,0
