,fdamage,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,Distance to treshold 2055,Population under treshold 2055,Distance to treshold 2105,Population under treshold 2105,Distance to treshold 2155,Population under treshold 2155,Distance to treshold 2205,Population under treshold 2205,Distance to treshold 2305,Population under treshold 2305,Total Aggregated Utility
1241,1,821,1,9328.698602841116,0,1,0,1,0,0.0,0.0,0.07962223936698193,372.6198936204345,64.40548141440465,914.9333056926503,72.80379840002634,1525.1792446095053,73.92005279592074,2133.2235534446068,6987.5199787401925
1242,1,190,1,7746.610315201055,4,1,1,1,0,0.1740621166907721,896.8331390502575,7.54368071538324,2126.9674833382687,61.94174099476634,3887.9801546622853,68.80634515003052,4121.832246643048,79.01280851446583,4699.077271575437,5957.886545244137
1243,1,927,1,6652.07265843498,0,1,0,1,0,0.07664700944424874,322.2881872211466,53.62288368237108,982.9951175780106,64.43936386565737,3202.591959461964,71.92798989049986,3850.788241339675,54.171612420768916,5072.602237752435,13245.758164393528
1244,1,370,1,9112.837103215372,3,1,1,1,0,1.0787247330829173,468.34721663128005,0.43232645439901773,1480.4925875438719,0.5813856936561792,1480.4925875438719,0.6455612340177308,1480.4925875438719,0.5947914236631782,1480.4925875438719,7729.343775151843
1245,1,927,0,4153.965728274519,3,1,0,1,0,0.1106335660318547,936.6944332625601,0.36257111320654256,2852.0115901453587,61.99562548037996,3504.484132329905,54.474057009423134,4078.630509883843,51.66582672560521,4078.630509883843,7862.176619573551
1246,1,246,0,5979.211381146413,0,1,1,1,0,0.04970249468511845,322.2881872211466,29.127637469954742,806.8959842396225,64.54068671540647,2450.364884175149,72.13019614971982,3356.338888052043,83.66066067574148,4325.190940062255,14453.073626350015
1247,1,800,2,4328.423558845897,2,1,0,1,1,0.5884398003917795,392.11377720333263,53.03024556419591,1784.313778861636,49.789256831434585,3833.0050211077373,68.92845953100326,4016.1896584307938,79.2913506720972,4369.238660597178,10152.121960546163
1248,1,279,1,6753.424815731861,0,1,0,1,1,0.0,0.0,0.739363459787777,372.6198936204345,64.82116851114587,1533.77907894918,70.21870863956217,2035.3173473789363,84.70066247703458,898.569582872551,6937.588454941064
1249,1,47,2,7705.518941877375,1,1,0,1,0,0.0697935091944768,336.4130577544048,53.3251746371601,1267.0526340908361,50.08170300074602,2816.1598653875876,69.29273724260746,3028.2892319094058,79.37394831888267,3315.3016312010295,10220.349379635745
1250,2,780,2,5229.910948920518,5,1,0,1,0,0.0,0.0,54.09072381749633,900.0710195073615,62.898985274560786,3422.711544510714,69.47967355226177,3760.5531845137834,80.22879901862845,3740.215785781419,11108.328951347092
1251,1,72,2,12585.247065423962,5,1,0,2,1,0.10600776392507871,330.1048035303076,54.21246879352512,1042.7390427182402,64.07835869001656,1752.0358165231291,71.38757681475921,2001.1125126265342,82.37854172534496,1731.6984177907643,12570.096643445344
1252,1,228,1,6039.898226874256,2,1,1,1,1,0.5181144738050454,392.11377720333263,3.31641585768486,1784.313778861636,62.448333974455444,2865.387442342283,54.73241742558218,3833.0050211077373,51.96307403202256,3833.0050211077373,10421.932749156296
1253,1,237,0,7371.477133119902,2,1,0,1,0,0.3840754344169588,392.11377720333263,3.353644274137347,488.1716403629208,62.77084062287744,1784.313778861636,69.86993996988868,1876.0716868837226,52.3109673495111,2196.658932446145,11147.976742851637
1254,2,207,1,9150.97697914316,1,1,0,1,1,0.0,0.0,53.0382051054143,2128.863527450852,61.01499538271969,3611.408944360419,67.57103928519365,3740.2063663617973,78.1273507903266,3740.2063663617973,6223.20193793813
1255,0,854,2,4226.574407331849,4,1,1,1,0,1.0583281350240286,448.41656952512875,1.355232096000547,676.8800301167952,2.086220732579178,676.8800301167952,2.632358367797344,676.8800301167952,0.09140580624320638,1353.7600602335904,9526.371870015664
1256,1,681,1,5682.3916527702595,0,1,1,1,0,0.1175034477219623,322.2881872211466,53.93252310347977,1655.0358353389097,64.25599829335401,3527.484401369682,71.55588023149949,4238.556208365433,53.851605659144695,5230.563567581673,12482.941221540537
1257,1,934,0,7496.004343618365,4,1,1,1,0,0.09449676317223976,896.8331390502575,0.5218700873975362,1775.9950797558326,3.5210045971326718,2126.9674833382687,69.42968406105898,2126.9674833382687,80.00350928812753,2126.9674833382687,7907.982286946721
1258,1,0,0,8589.303123082367,2,1,1,1,0,0.4041238239867655,392.11377720333263,4.918955518000099,622.5058907699087,62.72104628795345,1876.0716868837226,67.4180505383891,2350.113896524737,70.25701992283771,2350.113896524737,11028.919829566345
1259,1,866,0,12569.337330158147,0,1,0,1,0,0.0,0.0,0.030868803850407245,372.6198936204345,64.41549060949765,914.9333056926503,72.82024371620074,1433.867468675872,54.982690023563634,2133.2235534446068,6995.199518792238
1260,1,990,1,6932.58378657707,2,1,0,1,1,0.49492309848334126,392.11377720333263,52.75851004358661,1296.1421384987152,62.52360263441843,2467.6864030708675,69.48679514825125,3487.8933331121916,80.13982560990449,3353.5590827052038,10545.587548701726
